Country, Population, Median age, Population growth rate, Birth rate, Telephones - mobile cellular, Internet users
China, 1394015977, 38.4, 0.32, 11.60, 1672545161, 751886119
India, 1326093247, 28.7, 1.10, 18.20, 1105250941, 446759327
United States, 332639102, 38.5, 0.72, 12.40, 408509528, 285519020
Indonesia, 267026366, 31.1, 0.79, 15.40, 337766682, 104563108
Pakistan, 233500636, 22.0, 2.07, 27.40, 174702132, 34734689
Nigeria, 214028302, 18.6, 2.53, 34.60, 184013243, 85450052
Brazil, 211715973, 33.2, 0.67, 13.60, 207862093, 140908998
Bangladesh, 162650853, 27.9, 0.98, 18.10, 163559380, 23917950
Russia, 141722205, 40.3, -0.16, 10.00, 233342795, 114920477
Mexico, 128649565, 29.3, 1.04, 17.60, 121117720, 82843369
Japan, 125507472, 48.6, -0.27, 7.30, 175187425, 106725643
Philippines, 109180815, 24.1, 1.52, 22.90, 166421595, 63588975
Ethiopia, 108113150, 19.8, 2.56, 31.60, 38147361, 19118470
Egypt, 104124440, 24.1, 2.28, 27.20, 96657295, 46644728
Congo/ Democratic Republic of the, 101780263, 16.7, 3.18, 41.00, 42166976, 8231357
Vietnam, 98721275, 31.9, 0.84, 14.50, 138256733, 68267875
Iran, 84923314, 31.7, 1.10, 16.30, 119598034, 58117322
Turkey, 82017514, 32.2, 0.45, 14.80, 79068023, 57725143
Germany, 80159662, 47.8, -0.19, 8.60, 103090116, 72202773
Thailand, 68977400, 39.0, 0.25, 10.70, 128086321, 38987531
France, 67848156, 41.7, 0.35, 11.90, 74791818, 55265718
United Kingdom, 65761117, 40.6, 0.49, 11.90, 76920618, 61784878
Italy, 62402659, 46.5, 0.11, 8.40, 82955151, 46305301
Tanzania, 58552845, 18.2, 2.71, 34.60, 46847405, 13862836
Burma, 56590071, 29.2, 0.85, 17.00, 63877526, 17064985
South Africa, 56463617, 28.0, 0.97, 19.20, 92600942, 31107064
Kenya, 53527936, 20.0, 2.20, 27.20, 54336841, 9129243
Korea/ South, 51835110, 43.2, 0.39, 8.20, 69445005, 49309955
Spain, 50015792, 43.9, 0.67, 8.70, 58750448, 42478990
Colombia, 49084841, 31.2, 0.93, 15.40, 64033049, 29990017
Sudan, 45561556, 18.3, 2.69, 33.80, 34198859, 13311404
Argentina, 45479118, 32.4, 0.86, 16.00, 59008618, 33203320
Ukraine, 43922939, 41.2, -0.10, 9.60, 57431439, 25883509
Uganda, 43252966, 15.7, 3.34, 42.30, 23957740, 9620681
Algeria, 42972878, 28.9, 1.52, 20.00, 46287629, 24819531
Iraq, 38872655, 21.2, 2.16, 25.70, 36092758, 18364390
Poland, 38282325, 41.9, -0.19, 8.90, 52916105, 29791401
Canada, 37694085, 41.8, 0.81, 10.20, 34597559, 33743954
Afghanistan, 36643815, 19.5, 2.38, 36.70, 21239280, 4717013
Morocco, 35561654, 29.1, 0.96, 17.90, 45065083, 22596729
Saudi Arabia, 34173498, 30.8, 1.60, 14.70, 40532610, 30877318
Malaysia, 32652083, 29.2, 1.29, 18.30, 44997299, 25829444
Angola, 32522339, 15.9, 3.43, 42.70, 14645106, 4353033
Peru, 31914989, 29.1, 0.92, 17.00, 39138119, 16461427
Uzbekistan, 30565411, 30.1, 0.88, 16.10, 30662740, 15705402
Nepal, 30327877, 25.3, 0.98, 18.10, 41880311, 10103980
Mozambique, 30098197, 17.0, 2.62, 38.60, 13992090, 2855670
Yemen, 29884405, 19.8, 2.04, 25.80, 16158028, 7659884
Ghana, 29340248, 21.4, 2.15, 29.60, 38571189, 10959964
Venezuela, 28644603, 30.0, -0.18, 17.90, 16664106, 21354499
Cameroon, 27744989, 18.5, 2.78, 36.30, 22062303, 6089200
Cote d'Ivoire, 27481086, 20.3, 2.26, 29.10, 39049743, 12295204
Madagascar, 26955737, 20.3, 2.39, 29.90, 10677153, 2516994
Korea/ North, 25643466, 34.6, 0.51, 14.50, 3821857, nan
Australia, 25466459, 37.5, 1.40, 12.40, 27780491, 21419302
Taiwan, 23603049, 42.3, 0.11, 8.00, 29049784, 21845944
Sri Lanka, 22889201, 33.7, 0.67, 14.20, 26160623, 7700876
Niger, 22772361, 14.8, 3.66, 47.50, 8921769, 1110778
Romania, 21302893, 42.5, -0.37, 8.50, 25033292, 15165890
Malawi, 21196629, 16.8, 3.30, 40.10, 9799352, 2734305
Burkina Faso, 20835401, 17.9, 2.66, 35.10, 20330657, 3158834
Mali, 19553397, 16.0, 2.95, 42.20, 21850850, 2395886
Syria, 19398448, 23.5, 4.25, 23.80, 21115000, 6077510
Kazakhstan, 19091949, 31.6, 0.89, 16.40, 26223595, 14789448
Chile, 18186770, 35.5, 0.71, 13.10, 23870679, 14757868
Zambia, 17426623, 16.9, 2.89, 40.40, 16322168, 2351646
Netherlands, 17280397, 42.8, 0.37, 11.00, 21914852, 16243928
Guatemala, 17153288, 23.2, 1.68, 23.30, 20026347, 10777827
Cambodia, 16926984, 26.4, 1.40, 21.30, 21684767, 6579808
Ecuador, 16904867, 28.8, 1.20, 17.00, 15241719, 9448692
Chad, 16877357, 16.1, 3.18, 41.70, 7857758, 1029153
Senegal, 15736368, 19.4, 2.31, 31.80, 16871654, 6909635
Zimbabwe, 14546314, 20.5, 1.87, 33.60, 12863830, 3796618
Benin, 12864634, 17.0, 3.40, 42.10, 10905559, 2403596
Rwanda, 12712431, 19.7, 2.00, 27.90, 9531609, 2653197
Guinea, 12527440, 19.1, 2.76, 36.10, 12283911, 2133974
Burundi, 11865821, 17.7, 2.85, 36.50, 6644833, 298684
Somalia, 11757124, 18.5, 2.21, 38.70, 5612338, 225181
Tunisia, 11721177, 32.7, 0.85, 15.90, 14679917, 7392242
Belgium, 11720716, 41.6, 0.63, 11.10, 11616970, 10258638
Bolivia, 11639909, 25.3, 1.44, 20.80, 11567760, 4955569
Haiti, 11067777, 24.1, 1.26, 21.70, 6287411, 3503006
Cuba, 11059062, 42.1, -0.25, 10.40, 5911586, 6353020
Jordan, 10820644, 23.5, 1.40, 23.00, 8215735, 6985174
Czechia, 10702498, 43.3, 0.06, 8.90, 13213279, 8622750
Greece, 10607051, 45.3, -0.31, 7.80, 12070571, 7783381
South Sudan, 10561244, 18.6, 2.70, 38.80, 3439784, 814326
Dominican Republic, 10499707, 27.9, 0.95, 18.50, 8665302, 7705529
Portugal, 10302674, 44.6, -0.25, 8.10, 12028436, 7731411
Azerbaijan, 10205810, 32.6, 0.77, 14.50, 10835974, 8017120
Sweden, 10202491, 41.1, 0.79, 12.10, 12785850, 9251773
United Arab Emirates, 9992083, 38.4, 1.49, 9.50, 19749674, 9550945
Hungary, 9771827, 43.6, -0.28, 8.80, 10394172, 7474413
Belarus, 9477918, 40.9, -0.27, 9.50, 11682764, 7539145
Honduras, 9235340, 24.4, 1.27, 18.50, 6633309, 2853505
Tajikistan, 8873669, 25.3, 1.52, 21.80, 9747803, 1889632
Austria, 8859449, 44.5, 0.35, 9.50, 10574725, 7712665
Israel, 8675475, 30.4, 1.46, 17.60, 10839024, 6873037
Togo, 8608444, 20.0, 2.56, 32.00, 6477816, 1010609
Switzerland, 8403994, 42.7, 0.66, 10.50, 10618759, 7437820
Laos, 7447396, 24.0, 1.44, 22.40, 4466375, 1845437
Papua New Guinea, 7259456, 24.0, 1.60, 22.50, 3401971, 787764
Hong Kong, 7249907, 45.6, 0.24, 8.40, 20868827, 6450167
Paraguay, 7191685, 29.7, 1.16, 16.60, 7602566, 4566043
Serbia, 7012165, 43.4, -0.47, 8.80, 6789423, 5192501
Bulgaria, 6966899, 43.7, -0.65, 8.30, 8149389, 4571851
Libya, 6890535, 25.8, 1.94, 23.00, 6182105, 1440859
Sierra Leone, 6624933, 19.1, 2.43, 35.40, 5569221, 568099
El Salvador, 6481102, 27.7, 0.83, 18.60, 9442667, 2153776
Singapore, 6209660, 35.6, 1.73, 8.90, 9543773, 5286665
Nicaragua, 6203441, 27.3, 0.96, 17.10, 5433530, 1695340
